INSTANCE: MO1

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 6679.11983 8541.851382100002 697572.5375319239 0.004708051681518555
1 2919.3303899999996 8267.676252300002 560515.7950066779 0.01355123519897461
2 2174.6977300000003 7489.9471493 772309.2678052081 0.02162909507751465
3 2129.9560300000003 6737.689410100001 736136.4653045253 0.028815031051635742
4 1534.4857000000002 6683.999803800001 718017.0150586438 0.03578019142150879
5 1472.0676899999999 6628.8413931 769211.3612395747 0.042765140533447266
6 1472.0676899999999 6471.807798400001 697108.9348731962 0.0504612922668457
7 1472.0676899999999 6414.693719999999 651564.6849714019 0.058190107345581055
8 1472.0676899999999 6386.5181367000005 638441.3828963721 0.06625819206237793
9 1472.0676899999999 6383.9650975 638160.744107909 0.07405209541320801
10 1472.0676899999999 6353.828794000001 619069.3568817743 0.08213400840759277
11 1472.0676899999999 6333.136055800001 604932.0773593594 0.09002208709716797
12 1472.0676899999999 6317.1078914 604435.5456736594 0.09813404083251953
13 1472.0676899999999 6313.701152400001 600933.5628663027 0.1062462329864502
14 1472.0676899999999 6305.758900499999 592571.6170379659 0.11440801620483398
15 1472.0676899999999 6303.535451000001 591446.1941080904 0.12171792984008789
16 1472.0676899999999 6300.611683 586678.4198590957 0.1297621726989746
17 1472.0676899999999 6300.1199424999995 585905.387376585 0.1375751495361328
18 1472.0676899999999 6300.1199424999995 585905.387376585 0.14563703536987305
19 1472.0676899999999 6300.1199424999995 585905.387376585 0.15324020385742188
20 1472.0676899999999 6300.1199424999995 585905.387376585 0.1607961654663086
21 1472.0676899999999 6300.1199424999995 585905.387376585 0.16889119148254395
22 1472.0676899999999 6300.1199424999995 585905.387376585 0.17695307731628418
23 1472.0676899999999 6300.1199424999995 585905.387376585 0.18504595756530762
24 1472.0676899999999 6300.1199424999995 585905.387376585 0.19256210327148438
25 1472.0676899999999 6300.1199424999995 585905.387376585 0.20082616806030273
26 1472.0676899999999 6300.1199424999995 585905.387376585 0.20911002159118652
27 1472.0676899999999 6300.1199424999995 585905.387376585 0.2165670394897461
28 1472.0676899999999 6300.1199424999995 585905.387376585 0.2240769863128662
29 1472.0676899999999 6300.1199424999995 585905.387376585 0.2322249412536621
30 1472.0676899999999 6300.1199424999995 585905.387376585 0.240828275680542
